"","Fecha","Entidad","id","Cortas","Largas","Total"
"1",2017-01-01,"Aguascalientes",1,0,0,0
"2",2017-01-01,"Baja California",2,26,36,62
"3",2017-01-01,"Baja California Sur",3,0,0,0
"4",2017-01-01,"Campeche",4,2,0,2
"5",2017-01-01,"Chiapas",5,0,1,1
"6",2017-01-01,"Chihuahua",6,0,1,1
"7",2017-01-01,"Ciudad de México",7,38,20,58
"8",2017-01-01,"Coahuila",8,8,3,11
"9",2017-01-01,"Colima",9,0,0,0
"10",2017-01-01,"Durango",10,50,21,71
"11",2017-01-01,"Guanajuato",11,0,0,0
"12",2017-01-01,"Guerrero",12,1,3,4
"13",2017-01-01,"Hidalgo",13,0,0,0
"14",2017-01-01,"Jalisco",14,0,0,0
"15",2017-01-01,"México",15,0,0,0
"16",2017-01-01,"Michoacán",16,10,4,14
"17",2017-01-01,"Morelos",17,0,0,0
"18",2017-01-01,"Nayarit",18,0,0,0
"19",2017-01-01,"Nuevo León",19,0,0,0
"20",2017-01-01,"Oaxaca",20,0,0,0
"21",2017-01-01,"Puebla",21,0,1,1
"22",2017-01-01,"Querétaro",22,0,0,0
"23",2017-01-01,"Quintana Roo",23,0,0,0
"24",2017-01-01,"San Luis Potosí",24,0,0,0
"25",2017-01-01,"Sinaloa",25,1,0,1
"26",2017-01-01,"Sonora",26,0,0,0
"27",2017-01-01,"Tabasco",27,0,0,0
"28",2017-01-01,"Tamaulipas",28,8,5,13
"29",2017-01-01,"Tlaxcala",29,0,0,0
"30",2017-01-01,"Veracruz",30,2,0,2
"31",2017-01-01,"Yucatán",31,2,0,2
"32",2017-01-01,"Zacatecas",32,11,3,14
"33",2017-02-01,"Aguascalientes",1,0,0,0
"34",2017-02-01,"Baja California",2,6,12,18
"35",2017-02-01,"Baja California Sur",3,2,0,2
"36",2017-02-01,"Campeche",4,0,0,0
"37",2017-02-01,"Chiapas",5,1,1,2
"38",2017-02-01,"Chihuahua",6,9,7,16
"39",2017-02-01,"Ciudad de México",7,51,9,60
"40",2017-02-01,"Coahuila",8,42,24,66
"41",2017-02-01,"Colima",9,0,0,0
"42",2017-02-01,"Durango",10,28,3,31
"43",2017-02-01,"Guanajuato",11,0,0,0
"44",2017-02-01,"Guerrero",12,9,15,24
"45",2017-02-01,"Hidalgo",13,0,0,0
"46",2017-02-01,"Jalisco",14,0,1,1
"47",2017-02-01,"México",15,0,0,0
"48",2017-02-01,"Michoacán",16,16,7,23
"49",2017-02-01,"Morelos",17,0,0,0
"50",2017-02-01,"Nayarit",18,0,0,0
"51",2017-02-01,"Nuevo León",19,0,0,0
"52",2017-02-01,"Oaxaca",20,6,6,12
"53",2017-02-01,"Puebla",21,7,3,10
"54",2017-02-01,"Querétaro",22,0,0,0
"55",2017-02-01,"Quintana Roo",23,0,0,0
"56",2017-02-01,"San Luis Potosí",24,0,0,0
"57",2017-02-01,"Sinaloa",25,34,11,45
"58",2017-02-01,"Sonora",26,0,0,0
"59",2017-02-01,"Tabasco",27,1,0,1
"60",2017-02-01,"Tamaulipas",28,20,13,33
"61",2017-02-01,"Tlaxcala",29,0,0,0
"62",2017-02-01,"Veracruz",30,13,6,19
"63",2017-02-01,"Yucatán",31,2,0,2
"64",2017-02-01,"Zacatecas",32,7,0,7
"65",2017-03-01,"Aguascalientes",1,0,0,0
"66",2017-03-01,"Baja California",2,0,0,0
"67",2017-03-01,"Baja California Sur",3,0,1,1
"68",2017-03-01,"Campeche",4,0,0,0
"69",2017-03-01,"Chiapas",5,0,0,0
"70",2017-03-01,"Chihuahua",6,31,11,42
"71",2017-03-01,"Ciudad de México",7,22,8,30
"72",2017-03-01,"Coahuila",8,34,15,49
"73",2017-03-01,"Colima",9,0,0,0
"74",2017-03-01,"Durango",10,11,9,20
"75",2017-03-01,"Guanajuato",11,0,0,0
"76",2017-03-01,"Guerrero",12,5,2,7
"77",2017-03-01,"Hidalgo",13,4,1,5
"78",2017-03-01,"Jalisco",14,2,0,2
"79",2017-03-01,"México",15,134,62,196
"80",2017-03-01,"Michoacán",16,8,1,9
"81",2017-03-01,"Morelos",17,0,0,0
"82",2017-03-01,"Nayarit",18,0,0,0
"83",2017-03-01,"Nuevo León",19,17,13,30
"84",2017-03-01,"Oaxaca",20,11,14,25
"85",2017-03-01,"Puebla",21,10,1,11
"86",2017-03-01,"Querétaro",22,44,64,108
"87",2017-03-01,"Quintana Roo",23,0,0,0
"88",2017-03-01,"San Luis Potosí",24,0,0,0
"89",2017-03-01,"Sinaloa",25,0,0,0
"90",2017-03-01,"Sonora",26,0,0,0
"91",2017-03-01,"Tabasco",27,1,0,1
"92",2017-03-01,"Tamaulipas",28,60,39,99
"93",2017-03-01,"Tlaxcala",29,0,0,0
"94",2017-03-01,"Veracruz",30,27,8,35
"95",2017-03-01,"Yucatán",31,0,0,0
"96",2017-03-01,"Zacatecas",32,16,15,31
"97",2017-04-01,"Aguascalientes",1,0,0,0
"98",2017-04-01,"Baja California",2,0,0,0
"99",2017-04-01,"Baja California Sur",3,0,0,0
"100",2017-04-01,"Campeche",4,0,0,0
"101",2017-04-01,"Chiapas",5,0,2,2
"102",2017-04-01,"Chihuahua",6,4,1,5
"103",2017-04-01,"Ciudad de México",7,35,10,45
"104",2017-04-01,"Coahuila",8,2,0,2
"105",2017-04-01,"Colima",9,0,0,0
"106",2017-04-01,"Durango",10,41,16,57
"107",2017-04-01,"Guanajuato",11,0,0,0
"108",2017-04-01,"Guerrero",12,1,0,1
"109",2017-04-01,"Hidalgo",13,0,0,0
"110",2017-04-01,"Jalisco",14,60,35,95
"111",2017-04-01,"México",15,0,0,0
"112",2017-04-01,"Michoacán",16,12,16,28
"113",2017-04-01,"Morelos",17,0,0,0
"114",2017-04-01,"Nayarit",18,0,0,0
"115",2017-04-01,"Nuevo León",19,9,6,15
"116",2017-04-01,"Oaxaca",20,2,5,7
"117",2017-04-01,"Puebla",21,0,0,0
"118",2017-04-01,"Querétaro",22,7,11,18
"119",2017-04-01,"Quintana Roo",23,0,0,0
"120",2017-04-01,"San Luis Potosí",24,41,6,47
"121",2017-04-01,"Sinaloa",25,39,14,53
"122",2017-04-01,"Sonora",26,0,0,0
"123",2017-04-01,"Tabasco",27,2,1,3
"124",2017-04-01,"Tamaulipas",28,26,15,41
"125",2017-04-01,"Tlaxcala",29,0,0,0
"126",2017-04-01,"Veracruz",30,8,3,11
"127",2017-04-01,"Yucatán",31,0,0,0
"128",2017-04-01,"Zacatecas",32,0,0,0
"129",2017-05-01,"Aguascalientes",1,11,5,16
"130",2017-05-01,"Baja California",2,0,0,0
"131",2017-05-01,"Baja California Sur",3,0,5,5
"132",2017-05-01,"Campeche",4,0,0,0
"133",2017-05-01,"Chiapas",5,0,0,0
"134",2017-05-01,"Chihuahua",6,1,0,1
"135",2017-05-01,"Ciudad de México",7,71,19,90
"136",2017-05-01,"Coahuila",8,0,0,0
"137",2017-05-01,"Colima",9,3,0,3
"138",2017-05-01,"Durango",10,24,12,36
"139",2017-05-01,"Guanajuato",11,46,15,61
"140",2017-05-01,"Guerrero",12,12,2,14
"141",2017-05-01,"Hidalgo",13,0,0,0
"142",2017-05-01,"Jalisco",14,107,63,170
"143",2017-05-01,"México",15,0,0,0
"144",2017-05-01,"Michoacán",16,5,0,5
"145",2017-05-01,"Morelos",17,0,0,0
"146",2017-05-01,"Nayarit",18,0,0,0
"147",2017-05-01,"Nuevo León",19,15,9,24
"148",2017-05-01,"Oaxaca",20,1,1,2
"149",2017-05-01,"Puebla",21,11,2,13
"150",2017-05-01,"Querétaro",22,0,0,0
"151",2017-05-01,"Quintana Roo",23,3,1,4
"152",2017-05-01,"San Luis Potosí",24,0,0,0
